64,184,17,50,209,3,157,73,113,88,155,33,116,6,91,163,118,128,29,143,25,79,220,95,165,Class_Type,[Factor_0]
-8.34E-01,-5.94E-01,-7.56E-01,-7.37E-01,-8.34E-01,-7.54E-01,-7.15E-01,-4.40E-01,-7.61E-01,-8.33E-01,-3.79E-01,-3.19E-01,-9.12E-01,-7.19E-01,-6.52E-01,-8.29E-01,-4.03E-01,-4.30E-01,-6.73E-01,-2.84E-01,-8.48E-01,-6.34E-01,-7.31E-01,-7.36E-01,-6.46E-01,Healthy Control,Cluster 2
-7.19E-01,-6.93E-01,-6.17E-01,-5.76E-01,-7.88E-01,0.289358144,-8.14E-01,-6.99E-01,-3.14E-01,-2.82E-01,-6.72E-01,-3.17E-01,-6.71E-01,-2.39E-01,-7.63E-01,-8.61E-01,-6.36E-01,-4.24E-01,-4.44E-01,-7.23E-01,-7.78E-01,-3.68E-01,-1.90E-01,-7.83E-01,-6.38E-01,Healthy Control,Cluster 2
2.161629799,1.548460149,-2.96E-02,-6.92E-01,1.769081448,1.7331024,0.864813562,-6.24E-01,-8.15E-01,0.066146838,-8.08E-01,-7.37E-01,1.141950505,1.445651606,-1.91E-01,-7.85E-01,3.181960294,-4.72E-01,-7.78E-01,-3.69E-01,2.443170124,-2.99E-01,0.540290084,3.710055542,-2.08E-01,Healthy Control,Cluster 2
-1.65E-01,-1.38E-01,-2.77E-01,-4.45E-01,1.964569595,-9.07E-01,-5.60E-01,-8.38E-01,-2.25E-01,1.85720967,-7.64E-01,-3.14E-01,0.445195923,-2.52E-02,-9.46E-01,-6.41E-01,0.760532382,-4.32E-01,-6.90E-01,-8.16E-01,2.47831819,0.183712922,-4.05E-01,0.198645802,-8.17E-02,Healthy Control,Cluster 2
1.253875975,1.281791167,0.531569062,-9.94E-02,0.171960819,-1.89E-01,2.456810424,-4.23E-01,0.004364456,-1.86E-01,-8.63E-01,-8.82E-01,0.479112887,1.024480094,0.211442456,4.194561731,0.161666635,-8.34E-01,-7.58E-01,-4.83E-01,1.474348573,0.153235458,0.453137052,2.185603489,1.491308339,Healthy Control,Cluster 1
-5.52E-02,-7.24E-02,-3.27E-01,-8.17E-01,-5.58E-01,-9.64E-01,-1.27E-01,-7.57E-01,-7.61E-01,-5.30E-01,-6.71E-01,-5.69E-01,-7.24E-02,-9.04E-01,-8.85E-01,-5.89E-01,2.838593935,-4.87E-01,-6.83E-01,-3.25E-01,-5.93E-01,0.701294171,-7.52E-01,-9.75E-01,-8.51E-01,Healthy Control,Cluster 2
-2.12E-01,-1.84E-01,-3.35E-01,-5.85E-01,-7.55E-01,-7.58E-01,-2.52E-01,-5.47E-01,-6.94E-01,-8.07E-01,-5.55E-01,-4.44E-01,-9.75E-01,-8.68E-01,-8.66E-01,-5.49E-01,0.626720551,-4.72E-01,-6.89E-01,-5.66E-01,-5.03E-01,0.637389849,-9.06E-01,-8.84E-01,-7.49E-01,Healthy Control,Cluster 2
-1.71E-01,-1.94E-01,-5.41E-01,-4.83E-01,-5.13E-01,-8.26E-01,-2.22E-02,-4.37E-01,-7.15E-01,-8.16E-01,-6.38E-01,-3.64E-01,-8.27E-01,-8.00E-01,-6.99E-01,-4.89E-01,0.028312081,-4.44E-01,-6.00E-01,-6.59E-01,-5.82E-01,0.139182913,-8.82E-01,-8.99E-01,-6.85E-01,Healthy Control,Cluster 2
1.296070684,1.593451839,1.178096253,-6.40E-01,-7.62E-01,-6.84E-01,-2.04E-01,-8.30E-01,-5.24E-01,-4.33E-01,-6.54E-01,-2.91E-01,-6.45E-01,-9.90E-01,-6.30E-01,-9.45E-01,-6.05E-01,-9.20E-01,-9.04E-01,-5.01E-01,-3.00E-01,0.651934421,-8.64E-01,-7.07E-02,-8.33E-02,Healthy Control,Cluster 2
-7.83E-01,0.505353189,-4.72E-01,0.475549174,-3.41E-01,1.569230823,0.102861451,0.381866387,1.17644758,-3.08E-01,-6.90E-01,-6.92E-01,1.512260048,0.355857049,0.913865166,0.951090042,-2.76E-01,-3.89E-01,-5.34E-01,-6.54E-01,-5.79E-01,-8.07E-01,3.123572476,0.184845444,-3.77E-03,Healthy Control,Cluster 2
0.062452518,0.130379593,0.752140365,-4.19E-01,-6.73E-01,-7.94E-01,0.156552323,-4.54E-01,-7.49E-01,-2.31E-01,-7.04E-01,-6.22E-01,-2.47E-01,0.805206652,-8.06E-01,-5.88E-01,-9.70E-02,-7.07E-01,-7.42E-01,-3.92E-01,0.316399797,-7.37E-02,-8.07E-01,0.233262176,-5.01E-01,Healthy Control,Cluster 2
-8.01E-01,-7.86E-01,-7.65E-01,-6.53E-01,-8.79E-01,-6.25E-01,-8.15E-01,-4.89E-01,-5.51E-01,-8.90E-02,-4.68E-01,-3.59E-01,-8.18E-01,-8.83E-01,-5.71E-01,-6.80E-01,-7.46E-01,-3.52E-01,-5.27E-01,-7.25E-01,-8.52E-01,-4.19E-01,-7.69E-01,-6.35E-01,-6.83E-01,Healthy Control,Cluster 2
-4.65E-01,-6.33E-01,-8.81E-01,-6.46E-01,-8.22E-01,-7.28E-01,-3.84E-01,-7.09E-01,-5.28E-01,-7.58E-01,-7.39E-01,-3.72E-01,-8.33E-01,-5.86E-01,-7.81E-01,-5.84E-01,-5.45E-01,-4.82E-01,-6.95E-01,-8.13E-01,-9.63E-01,-7.00E-02,-7.59E-01,-6.32E-01,-7.76E-01,Healthy Control,Cluster 2
-2.09E-01,-4.81E-01,-8.12E-01,-5.63E-01,-6.68E-01,-5.22E-01,-6.03E-01,-6.12E-01,-4.89E-01,-8.85E-01,-6.12E-01,-3.56E-01,-8.89E-01,-7.70E-01,-7.70E-01,-4.98E-01,-1.18E-01,-5.18E-01,-6.51E-01,-8.68E-01,-8.37E-01,0.039838798,-7.99E-01,-8.50E-01,-7.33E-01,Healthy Control,Cluster 2
-5.51E-01,-4.60E-01,0.940172113,-9.13E-01,-6.03E-01,-6.78E-01,0.420167362,-4.70E-02,-5.10E-01,-2.00E-01,-3.96E-01,-4.85E-01,0.082468274,-5.26E-02,-5.29E-01,-1.79E-01,0.112583632,-2.71E-01,-6.31E-01,0.662803094,-8.99E-01,0.549244117,0.281181219,-2.48E-01,0.265366398,Healthy Control,Cluster 2
-3.74E-01,-3.44E-01,0.458129339,-6.66E-01,-5.45E-01,-4.35E-01,0.101946876,-5.51E-02,-4.21E-01,-3.89E-01,-4.13E-01,-3.87E-01,-1.33E-01,0.218852223,-3.52E-01,-2.13E-01,0.255750092,-2.35E-01,-4.14E-01,0.571731795,-7.62E-01,0.111689099,0.15160281,-2.91E-01,0.134567272,Healthy Control,Cluster 2
-2.64E-01,-3.63E-01,0.736304014,-8.38E-01,-6.29E-01,-2.99E-01,0.167240118,-5.19E-02,-4.26E-01,-3.96E-01,-4.36E-01,-2.30E-01,-3.12E-02,0.174416892,-4.16E-01,-1.87E-01,0.467611655,-2.76E-01,-5.63E-01,0.97972876,-7.44E-01,0.392067798,0.280063947,-1.15E-01,0.163533932,Healthy Control,Cluster 2
-3.68E-01,-4.18E-01,0.579140244,-7.49E-01,-6.40E-01,-6.08E-01,0.173606999,-8.85E-02,-2.70E-01,-1.93E-01,-3.42E-01,-3.74E-01,0.086168218,0.060302966,-2.77E-01,-1.52E-01,0.397791215,-2.39E-01,-5.14E-01,0.985105216,-6.80E-01,0.478639579,0.445695243,0.079527382,0.160834795,Healthy Control,Cluster 2
0.648649915,-2.78E-01,-5.03E-01,0.284497737,-4.71E-01,-2.77E-01,-5.08E-01,0.484724502,1.481775015,2.370391383,2.644954328,1.396739171,-2.75E-01,2.061287388,-8.49E-01,-6.72E-02,0.772948934,0.059819449,1.801764328,0.127887247,-3.45E-01,-6.44E-01,-2.64E-01,0.002394563,-2.25E-01,Healthy Control,Cluster 1
1.036139159,-5.18E-01,-6.02E-01,0.347499137,-3.83E-01,-5.89E-01,0.644385305,0.548493963,0.879053495,1.551028341,0.842791114,1.532226819,-4.28E-01,1.779000382,-8.23E-01,0.050808941,0.630506253,0.084498087,2.595969874,-4.71E-01,0.098046047,-5.86E-01,-2.42E-01,-2.74E-01,-3.57E-01,Healthy Control,Cluster 1
0.934385257,-6.41E-01,-3.21E-01,0.178691851,-4.06E-01,-5.14E-01,-5.35E-01,0.380779581,0.795091868,1.477062963,0.671563231,0.475776824,-3.46E-01,1.878847741,-7.76E-01,-1.40E-02,1.158103877,0.161920807,4.217967658,-3.12E-02,1.543345506,-5.70E-01,-4.58E-01,0.034004414,-2.84E-01,Healthy Control,Cluster 1
0.233837561,-4.15E-01,-5.35E-01,0.386585418,-4.06E-01,-3.99E-01,-6.25E-01,0.449442479,1.183839812,0.684164318,0.199997697,0.486793901,-6.37E-01,0.715990275,-4.72E-01,-3.36E-01,1.164328579,-6.99E-03,1.259340066,-4.05E-01,-2.27E-01,-2.74E-01,-4.30E-01,-1.20E-01,-1.75E-01,Healthy Control,Cluster 1
0.666467609,-5.29E-01,-4.53E-01,0.219640478,-3.56E-01,0.417509005,-4.91E-01,0.417762709,1.052943395,0.376852827,1.572222589,0.473874848,-3.71E-01,4.287228231,-7.17E-01,-1.41E-01,2.339165527,-2.47E-01,0.659418033,0.026248176,1.640830813,-6.65E-01,-2.55E-01,-2.68E-02,-1.68E-01,Healthy Control,Cluster 1
1.001948629,-5.59E-01,0.053403171,0.436494928,-2.63E-01,-2.07E-01,-3.37E-01,0.488103358,1.847969782,0.742836817,-7.49E-02,1.154690267,-4.90E-01,0.331528211,-7.80E-01,-1.73E-01,1.411983993,-7.74E-02,0.971481616,0.001070546,-1.25E-02,-5.64E-01,-2.82E-01,-3.41E-01,-1.90E-01,Healthy Control,Cluster 1
-3.82E-01,-3.81E-01,0.878791021,-7.46E-01,-6.32E-01,-3.29E-01,0.29809589,-5.76E-02,-3.79E-01,-1.51E-01,-4.11E-01,-4.16E-01,0.045727133,-2.52E-02,-4.24E-01,-2.34E-01,0.432643503,-2.67E-01,-5.46E-01,1.308458657,-6.98E-01,0.130551716,0.350918386,-2.79E-02,0.184735918,Healthy Control,Cluster 2
0.472883923,0.663914832,0.703155776,-4.79E-01,-9.21E-01,-7.01E-01,1.150299112,-8.30E-02,-5.13E-01,3.259431467,0.900466161,0.25503696,-3.28E-01,-2.82E-01,-6.61E-01,-2.96E-02,0.363059304,2.653846051,-3.91E-01,0.652332152,-4.10E-01,-3.01E-01,3.72897717,0.000791434,-3.18E-01,Healthy Control,Cluster 1
